Brand,Model,Body_Type,Price_Min_Lakh,Price_Max_Lakh,Price_Avg_Lakh,Price_INR,Mileage_Min_kmpl,Mileage_Max_kmpl,Mileage_Avg_kmpl,Engine_Min_CC,Engine_Max_CC,Engine_Avg_CC,Safety_Rating,Safety_Rating_Available,NCAP_Body,Fuel_Type_Primary,Fuel_Type_Full,Transmission_Primary,Transmission_Full,Seating_Min,Seating_Max,Key_Strengths,Things_To_Consider
Tata,Nexon,SUV,8.1,15.5,11.8,1180000.0,17.01,24.08,20.545,1199.0,1497.0,1348.0,5.0,True,Global NCAP,Petrol,Petrol & Diesel,Manual,Manual & Automatic,5.0,5.0,"Solid mileage of 20.5 kmpl keeps your monthly fuel bill comfortably in check. | Achieved a perfect 5-star NCAP safety rating — one of the safest cars in its segment. | Diesel powertrain excels on long highway journeys, keeping per-km fuel cost low.",Fuel costs may rise noticeably if used primarily for long highway trips at high speeds. | Diesel engine servicing intervals and repair costs tend to run higher than equivalent petrol variants.
Force Motors,Trax Cruiser,Van,13.83,15.23,14.53,1453000.0,19.6,19.6,19.6,2596.0,2596.0,2596.0,5.0,False,,Diesel,Diesel,Manual,Manual,10.0,13.0,Decent real-world mileage of 19.6 kmpl balances performance with economy. | Achieved a perfect 5-star NCAP safety rating — one of the safest cars in its segment. | Mid-range pricing of ₹14.53 lakh (avg) puts a feature-rich package within comfortable reach.,Fuel costs may rise noticeably if used primarily for long highway trips at high speeds. | Large displacement engine results in a heavier road tax and insurance premium in some states.
Tata,Tigor EV,Sedan,12.49,13.75,13.12,1312000.0,19.6,19.6,19.6,1489.5,1489.5,1489.5,4.0,True,Global NCAP,Electric,Electric,Automatic,Automatic,5.0,5.0,"Decent real-world mileage of 19.6 kmpl balances performance with economy. | Secured a strong 4-star NCAP safety rating, giving you reliable crash protection. | Refined 1490 cc engine hits a sweet spot between everyday driveability and fuel economy.",Fuel costs may rise noticeably if used primarily for long highway trips at high speeds. | Public EV charging infrastructure is still expanding — plan your route around charging stops on long trips.
Mahindra,Marazzo,MPV,14.39,16.8,15.595,1559500.0,19.6,19.6,19.6,1497.0,1497.0,1497.0,4.0,True,Global NCAP,Diesel,Diesel,Manual,Manual,7.0,8.0,"Decent real-world mileage of 19.6 kmpl balances performance with economy. | Secured a strong 4-star NCAP safety rating, giving you reliable crash protection. | Sliding rear doors and flat floor make entry and exit hassle-free for all passengers.","Fuel costs may rise noticeably if used primarily for long highway trips at high speeds. | Diesel engines can feel noisy and vibration-prone at idle, especially in older or base variants."
Citroen,eC3,Hatchback,11.61,13.5,12.555,1255500.0,19.6,19.6,19.6,1489.5,1489.5,1489.5,5.0,False,,Electric,Electric,Automatic,Automatic,5.0,5.0,Decent real-world mileage of 19.6 kmpl balances performance with economy. | Achieved a perfect 5-star NCAP safety rating — one of the safest cars in its segment. | Compact footprint makes it effortless to navigate congested city lanes and find parking spots.,Fuel costs may rise noticeably if used primarily for long highway trips at high speeds. | Automatic gearbox adds to purchase price and can increase long-term maintenance costs.
Hyundai,Venue N Line,SUV,12.08,13.9,12.99,1299000.0,19.6,19.6,19.6,998.0,998.0,998.0,5.0,False,,Petrol,Petrol,Manual,Manual & Automatic,5.0,5.0,Decent real-world mileage of 19.6 kmpl balances performance with economy. | Achieved a perfect 5-star NCAP safety rating — one of the safest cars in its segment. | Tall SUV stance gives excellent visibility and confident road presence in urban and highway conditions.,Fuel costs may rise noticeably if used primarily for long highway trips at high speeds. | Larger SUV dimensions can make urban parking and narrow lane navigation more challenging.
Volkswagen,Taigun,SUV,11.7,21.1,16.4,1640000.0,18.15,19.87,19.01,999.0,1498.0,1248.5,5.0,True,Global NCAP,Petrol,Petrol,Manual,Manual & Automatic,5.0,5.0,Decent real-world mileage of 19.0 kmpl balances performance with economy. | Achieved a perfect 5-star NCAP safety rating — one of the safest cars in its segment. | Higher ground clearance handles rough roads and speed breakers with ease.,Fuel costs may rise noticeably if used primarily for long highway trips at high speeds. | Larger SUV dimensions can make urban parking and narrow lane navigation more challenging.
Maruti,XL6,MPV,11.56,14.82,13.19,1319000.0,19.6,19.6,19.6,1489.5,1489.5,1489.5,5.0,False,,Petrol,Petrol,Manual,Manual,5.0,5.0,Decent real-world mileage of 19.6 kmpl balances performance with economy. | Achieved a perfect 5-star NCAP safety rating — one of the safest cars in its segment. | Sliding rear doors and flat floor make entry and exit hassle-free for all passengers.,Fuel costs may rise noticeably if used primarily for long highway trips at high speeds. | Manual-only transmission can cause clutch fatigue during prolonged stop-start city driving.
Honda,City,Sedan,11.74,16.22,13.98,1398000.0,19.6,19.6,19.6,1489.5,1489.5,1489.5,5.0,False,,Petrol,Petrol,Manual,Manual,5.0,5.0,Decent real-world mileage of 19.6 kmpl balances performance with economy. | Achieved a perfect 5-star NCAP safety rating — one of the safest cars in its segment. | Refined 1490 cc engine hits a sweet spot between everyday driveability and fuel economy.,Fuel costs may rise noticeably if used primarily for long highway trips at high speeds. | Lower ground clearance of the sedan body may scrape on severe potholes or steep ramps.
Skoda,Slavia,Sedan,11.53,19.12,15.325,1532500.0,18.73,20.32,19.525,999.0,1498.0,1248.5,5.0,True,Global NCAP,Petrol,Petrol,Manual,Manual & Automatic,5.0,5.0,Decent real-world mileage of 19.5 kmpl balances performance with economy. | Achieved a perfect 5-star NCAP safety rating — one of the safest cars in its segment. | Premium positioning at ₹15.32 lakh (avg) reflects its class-leading features and build quality.,Fuel costs may rise noticeably if used primarily for long highway trips at high speeds. | Three-box sedan design limits boot access to smaller items if rear seat is occupied fully.
Tata,Nexon EV,SUV,14.74,19.94,17.34,1734000.0,19.6,19.6,19.6,1489.5,1489.5,1489.5,5.0,False,,Electric,Electric,Automatic,Automatic,5.0,5.0,Decent real-world mileage of 19.6 kmpl balances performance with economy. | Achieved a perfect 5-star NCAP safety rating — one of the safest cars in its segment. | Premium positioning at ₹17.34 lakh (avg) reflects its class-leading features and build quality.,Fuel costs may rise noticeably if used primarily for long highway trips at high speeds. | Larger SUV dimensions can make urban parking and narrow lane navigation more challenging.
Maruti,Jimny,SUV,10.74,15.05,12.895,1289500.0,16.39,16.94,16.665,1462.0,1462.0,1462.0,5.0,False,,Petrol,Petrol,Manual,Manual & Automatic,4.0,4.0,Decent real-world mileage of 16.7 kmpl balances performance with economy. | Achieved a perfect 5-star NCAP safety rating — one of the safest cars in its segment. | Higher ground clearance handles rough roads and speed breakers with ease.,Fuel costs may rise noticeably if used primarily for long highway trips at high speeds. | Higher kerb weight of the SUV body slightly reduces acceleration response compared to hatchbacks.
Skoda,Kushaq,SUV,11.89,20.49,16.189999999999998,1619000.0,19.6,19.6,19.6,1489.5,1489.5,1489.5,5.0,False,,Petrol,Petrol,Manual,Manual,5.0,5.0,Decent real-world mileage of 19.6 kmpl balances performance with economy. | Achieved a perfect 5-star NCAP safety rating — one of the safest cars in its segment. | Refined 1490 cc engine hits a sweet spot between everyday driveability and fuel economy.,Fuel costs may rise noticeably if used primarily for long highway trips at high speeds. | Higher kerb weight of the SUV body slightly reduces acceleration response compared to hatchbacks.
Kia,Carens,MPV,10.45,19.45,14.95,1495000.0,19.6,19.6,19.6,1482.0,1497.0,1489.5,3.0,True,Global NCAP,Petrol,Petrol & Diesel,Manual,"Manual, Clutchless Manual (IMT) & Automatic",6.0,7.0,Decent real-world mileage of 19.6 kmpl balances performance with economy. | Carries a 3-star safety rating with standard protective features for everyday driving. | High-torque diesel engine pulls confidently even when fully loaded or climbing inclines.,"Fuel costs may rise noticeably if used primarily for long highway trips at high speeds. | Diesel engines can feel noisy and vibration-prone at idle, especially in older or base variants."
Volkswagen,Virtus,Sedan,11.56,19.41,15.485,1548500.0,18.45,20.66,19.555,999.0,1498.0,1248.5,5.0,True,Global NCAP,Petrol,Petrol,Manual,Manual & Automatic,5.0,5.0,Decent real-world mileage of 19.6 kmpl balances performance with economy. | Achieved a perfect 5-star NCAP safety rating — one of the safest cars in its segment. | Premium positioning at ₹15.48 lakh (avg) reflects its class-leading features and build quality.,Fuel costs may rise noticeably if used primarily for long highway trips at high speeds. | Lower ground clearance of the sedan body may scrape on severe potholes or steep ramps.
Honda,Elevate,SUV,11.68,16.5,14.09,1409000.0,15.31,16.92,16.115000000000002,1498.0,1498.0,1498.0,5.0,False,,Petrol,Petrol,Manual,Manual & Automatic,5.0,5.0,Decent real-world mileage of 16.1 kmpl balances performance with economy. | Achieved a perfect 5-star NCAP safety rating — one of the safest cars in its segment. | Tall SUV stance gives excellent visibility and confident road presence in urban and highway conditions.,Fuel costs may rise noticeably if used primarily for long highway trips at high speeds. | Higher kerb weight of the SUV body slightly reduces acceleration response compared to hatchbacks.
Toyota,Rumion,MPV,10.29,13.68,11.985,1198500.0,20.11,26.11,23.11,1462.0,1462.0,1462.0,5.0,False,,Petrol,Petrol & CNG,Manual,Manual & Automatic,7.0,7.0,Solid mileage of 23.1 kmpl keeps your monthly fuel bill comfortably in check. | Achieved a perfect 5-star NCAP safety rating — one of the safest cars in its segment. | Refined 1462 cc engine hits a sweet spot between everyday driveability and fuel economy.,"Fuel costs may rise noticeably if used primarily for long highway trips at high speeds. | CNG cylinder occupies a portion of boot space, reducing luggage capacity noticeably."
Hyundai,Verna,Sedan,11.0,17.42,14.21,1421000.0,18.6,20.6,19.6,1482.0,1497.0,1489.5,5.0,True,Global NCAP,Petrol,Petrol,Manual,Manual & Automatic,5.0,5.0,Decent real-world mileage of 19.6 kmpl balances performance with economy. | Achieved a perfect 5-star NCAP safety rating — one of the safest cars in its segment. | Choice of manual and automatic gearbox lets buyers pick the driving experience they prefer.,Fuel costs may rise noticeably if used primarily for long highway trips at high speeds. | Three-box sedan design limits boot access to smaller items if rear seat is occupied fully.
MG,Hector,SUV,15.0,22.2,18.6,1860000.0,19.6,19.6,19.6,1451.0,1956.0,1703.5,5.0,False,,Petrol,Petrol & Diesel,Manual,Manual & Automatic,5.0,5.0,Decent real-world mileage of 19.6 kmpl balances performance with economy. | Achieved a perfect 5-star NCAP safety rating — one of the safest cars in its segment. | Tall SUV stance gives excellent visibility and confident road presence in urban and highway conditions.,Fuel costs may rise noticeably if used primarily for long highway trips at high speeds. | Larger SUV dimensions can make urban parking and narrow lane navigation more challenging.
Toyota,Urban Cruiser Hyryder,SUV,11.14,20.19,15.665,1566500.0,20.58,27.97,24.275,1462.0,1490.0,1476.0,5.0,False,,Hybrid,Hybrid & CNG,Manual,Manual & Automatic,5.0,5.0,Solid mileage of 24.3 kmpl keeps your monthly fuel bill comfortably in check. | Achieved a perfect 5-star NCAP safety rating — one of the safest cars in its segment. | Intelligent hybrid system seamlessly switches between petrol and electric to maximise efficiency.,Fuel costs may rise noticeably if used primarily for long highway trips at high speeds. | CNG filling stations are sparse outside major cities — plan trips in smaller towns carefully.
Kia,Seltos,SUV,10.9,20.3,15.6,1560000.0,19.6,19.6,19.6,1489.5,1489.5,1489.5,5.0,False,,Petrol,Petrol,Manual,Manual,5.0,5.0,Decent real-world mileage of 19.6 kmpl balances performance with economy. | Achieved a perfect 5-star NCAP safety rating — one of the safest cars in its segment. | Refined 1490 cc engine hits a sweet spot between everyday driveability and fuel economy.,Fuel costs may rise noticeably if used primarily for long highway trips at high speeds. | Larger SUV dimensions can make urban parking and narrow lane navigation more challenging.
Mahindra,Scorpio,SUV,13.59,17.35,15.47,1547000.0,19.6,19.6,19.6,2184.0,2184.0,2184.0,5.0,False,,Diesel,Diesel,Manual,Manual,7.0,9.0,Decent real-world mileage of 19.6 kmpl balances performance with economy. | Achieved a perfect 5-star NCAP safety rating — one of the safest cars in its segment. | Higher ground clearance handles rough roads and speed breakers with ease.,Fuel costs may rise noticeably if used primarily for long highway trips at high speeds. | Higher kerb weight of the SUV body slightly reduces acceleration response compared to hatchbacks.
Maruti,Grand Vitara,SUV,10.7,19.92,15.31,1531000.0,20.58,27.97,24.275,1462.0,1490.0,1476.0,5.0,False,,Hybrid,Hybrid & CNG,Manual,Manual & Automatic,5.0,5.0,Solid mileage of 24.3 kmpl keeps your monthly fuel bill comfortably in check. | Achieved a perfect 5-star NCAP safety rating — one of the safest cars in its segment. | Factory-fitted CNG kit maintains full manufacturer warranty with no compromise on reliability.,Fuel costs may rise noticeably if used primarily for long highway trips at high speeds. | Hybrid battery pack adds to the vehicle weight and can be costly to replace outside warranty.
Mahindra,Thar,SUV,11.25,17.2,14.225,1422500.0,19.6,19.6,19.6,1489.5,1489.5,1489.5,5.0,False,,Petrol,Petrol,Manual,Manual,5.0,5.0,Decent real-world mileage of 19.6 kmpl balances performance with economy. | Achieved a perfect 5-star NCAP safety rating — one of the safest cars in its segment. | Higher ground clearance handles rough roads and speed breakers with ease.,Fuel costs may rise noticeably if used primarily for long highway trips at high speeds. | Larger SUV dimensions can make urban parking and narrow lane navigation more challenging.
Mahindra,XUV700,SUV,13.99,26.99,20.49,2049000.0,19.6,19.6,19.6,1997.0,2184.0,2090.5,5.0,True,Global NCAP,Petrol,Petrol & Diesel,Manual,Manual & Automatic,5.0,7.0,Decent real-world mileage of 19.6 kmpl balances performance with economy. | Achieved a perfect 5-star NCAP safety rating — one of the safest cars in its segment. | Premium positioning at ₹20.49 lakh (avg) reflects its class-leading features and build quality.,Fuel costs may rise noticeably if used primarily for long highway trips at high speeds. | Large displacement engine results in a heavier road tax and insurance premium in some states.
Mahindra,Scorpio N,SUV,13.6,24.54,19.07,1907000.0,19.6,19.6,19.6,1997.0,2184.0,2090.5,5.0,True,Global NCAP,Petrol,Petrol & Diesel,Manual,Manual & Automatic,6.0,7.0,Decent real-world mileage of 19.6 kmpl balances performance with economy. | Achieved a perfect 5-star NCAP safety rating — one of the safest cars in its segment. | Tall SUV stance gives excellent visibility and confident road presence in urban and highway conditions.,Fuel costs may rise noticeably if used primarily for long highway trips at high speeds. | Larger SUV dimensions can make urban parking and narrow lane navigation more challenging.
Tata,Punch EV,SUV,10.99,15.49,13.24,1324000.0,19.6,19.6,19.6,1489.5,1489.5,1489.5,5.0,False,,Electric,Electric,Automatic,Automatic,5.0,5.0,Decent real-world mileage of 19.6 kmpl balances performance with economy. | Achieved a perfect 5-star NCAP safety rating — one of the safest cars in its segment. | Higher ground clearance handles rough roads and speed breakers with ease.,Fuel costs may rise noticeably if used primarily for long highway trips at high speeds. | Higher kerb weight of the SUV body slightly reduces acceleration response compared to hatchbacks.
Hyundai,Creta,SUV,11.0,20.15,15.575,1557500.0,19.6,19.6,19.6,1482.0,1497.0,1489.5,5.0,False,,Petrol,Petrol & Diesel,Manual,Manual & Automatic,5.0,5.0,Decent real-world mileage of 19.6 kmpl balances performance with economy. | Achieved a perfect 5-star NCAP safety rating — one of the safest cars in its segment. | High-torque diesel engine pulls confidently even when fully loaded or climbing inclines.,Fuel costs may rise noticeably if used primarily for long highway trips at high speeds. | Higher kerb weight of the SUV body slightly reduces acceleration response compared to hatchbacks.
Honda,City Hybrid eHEV,Sedan,18.93,20.43,19.68,1968000.0,27.1,27.1,27.1,1498.0,1498.0,1498.0,5.0,False,,Hybrid,Hybrid,Automatic,Automatic,5.0,5.0,"Outstanding fuel efficiency of 27.1 kmpl — ideal for daily commuters who want to cut fuel costs. | Achieved a perfect 5-star NCAP safety rating — one of the safest cars in its segment. | Regenerative braking recovers energy during deceleration, topping up the battery automatically.",Fuel costs may rise noticeably if used primarily for long highway trips at high speeds. | Full efficiency gains of the hybrid system are only realised in mixed city-highway driving cycles.
Force Motors,Gurkha,SUV,15.1,15.1,15.1,1510000.0,19.6,19.6,19.6,2596.0,2596.0,2596.0,5.0,False,,Diesel,Diesel,Manual,Manual,4.0,4.0,"Decent real-world mileage of 19.6 kmpl balances performance with economy. | Achieved a perfect 5-star NCAP safety rating — one of the safest cars in its segment. | Diesel powertrain excels on long highway journeys, keeping per-km fuel cost low.","Fuel costs may rise noticeably if used primarily for long highway trips at high speeds. | Diesel engines can feel noisy and vibration-prone at idle, especially in older or base variants."
Isuzu,D-Max,Pickup,19.5,27.0,23.25,2325000.0,19.6,19.6,19.6,1898.0,1898.0,1898.0,5.0,True,ASEAN NCAP,Diesel,Diesel,Manual,Manual & Automatic,5.0,5.0,Decent real-world mileage of 19.6 kmpl balances performance with economy. | Achieved a perfect 5-star NCAP safety rating — one of the safest cars in its segment. | Powerful 1898 cc engine delivers strong mid-range pull for confident overtaking.,Fuel costs may rise noticeably if used primarily for long highway trips at high speeds. | Open cargo bed offers no weather or theft protection for goods unless covered separately.
Hyundai,Alcazar,SUV,16.77,21.28,19.025,1902500.0,18.1,20.4,19.25,1482.0,1493.0,1487.5,5.0,False,,Petrol,Petrol & Diesel,Manual,Manual & Automatic,6.0,7.0,Decent real-world mileage of 19.2 kmpl balances performance with economy. | Achieved a perfect 5-star NCAP safety rating — one of the safest cars in its segment. | Premium positioning at ₹19.02 lakh (avg) reflects its class-leading features and build quality.,Fuel costs may rise noticeably if used primarily for long highway trips at high speeds. | Higher kerb weight of the SUV body slightly reduces acceleration response compared to hatchbacks.
MG,Hector Plus,SUV,17.8,22.98,20.39,2039000.0,19.6,19.6,19.6,1451.0,1956.0,1703.5,5.0,False,,Petrol,Petrol & Diesel,Manual,Manual & Automatic,6.0,7.0,Decent real-world mileage of 19.6 kmpl balances performance with economy. | Achieved a perfect 5-star NCAP safety rating — one of the safest cars in its segment. | Tall SUV stance gives excellent visibility and confident road presence in urban and highway conditions.,Fuel costs may rise noticeably if used primarily for long highway trips at high speeds. | Diesel engine servicing intervals and repair costs tend to run higher than equivalent petrol variants.
Jeep,Compass,SUV,20.69,32.27,26.480000000000004,2648000.0,16.2,17.1,16.65,1956.0,1956.0,1956.0,5.0,True,Euro NCAP,Diesel,Diesel,Manual,Manual & Automatic,5.0,5.0,Decent real-world mileage of 16.6 kmpl balances performance with economy. | Achieved a perfect 5-star NCAP safety rating — one of the safest cars in its segment. | Higher ground clearance handles rough roads and speed breakers with ease.,"Fuel costs may rise noticeably if used primarily for long highway trips at high speeds. | Diesel engines can feel noisy and vibration-prone at idle, especially in older or base variants."
Mahindra,XUV400,SUV,15.49,19.19,17.34,1734000.0,19.6,19.6,19.6,1489.5,1489.5,1489.5,5.0,False,,Electric,Electric,Automatic,Automatic,5.0,5.0,Decent real-world mileage of 19.6 kmpl balances performance with economy. | Achieved a perfect 5-star NCAP safety rating — one of the safest cars in its segment. | Zero tailpipe emissions contribute to cleaner air and significantly lower running costs per km.,Fuel costs may rise noticeably if used primarily for long highway trips at high speeds. | Automatic gearbox adds to purchase price and can increase long-term maintenance costs.
Toyota,Innova Hycross,MPV,19.77,30.68,25.225,2522500.0,16.13,23.24,19.685,1987.0,1987.0,1987.0,5.0,False,,Petrol,Petrol & Hybrid,Automatic,Automatic,7.0,8.0,"Decent real-world mileage of 19.7 kmpl balances performance with economy. | Achieved a perfect 5-star NCAP safety rating — one of the safest cars in its segment. | Regenerative braking recovers energy during deceleration, topping up the battery automatically.",Fuel costs may rise noticeably if used primarily for long highway trips at high speeds. | Full efficiency gains of the hybrid system are only realised in mixed city-highway driving cycles.
Tata,Safari,SUV,16.19,27.34,21.765,2176500.0,14.5,16.3,15.4,1956.0,1956.0,1956.0,5.0,True,Bharat NCAP,Diesel,Diesel,Manual,Manual & Automatic,6.0,7.0,Decent real-world mileage of 15.4 kmpl balances performance with economy. | Achieved a perfect 5-star NCAP safety rating — one of the safest cars in its segment. | Choice of manual and automatic gearbox lets buyers pick the driving experience they prefer.,Fuel costs may rise noticeably if used primarily for long highway trips at high speeds. | Higher kerb weight of the SUV body slightly reduces acceleration response compared to hatchbacks.
Toyota,Innova Crysta,MPV,18.65,19.99,19.32,1932000.0,19.6,19.6,19.6,2393.0,2393.0,2393.0,5.0,True,ASEAN NCAP,Diesel,Diesel,Manual,Manual,7.0,8.0,Decent real-world mileage of 19.6 kmpl balances performance with economy. | Achieved a perfect 5-star NCAP safety rating — one of the safest cars in its segment. | Premium positioning at ₹19.32 lakh (avg) reflects its class-leading features and build quality.,Fuel costs may rise noticeably if used primarily for long highway trips at high speeds. | Large displacement engine results in a heavier road tax and insurance premium in some states.
Tata,Harrier,SUV,15.49,26.44,20.965,2096500.0,14.6,16.8,15.7,1956.0,1956.0,1956.0,5.0,True,Bharat NCAP,Diesel,Diesel,Manual,Manual & Automatic,5.0,5.0,Decent real-world mileage of 15.7 kmpl balances performance with economy. | Achieved a perfect 5-star NCAP safety rating — one of the safest cars in its segment. | Premium positioning at ₹20.96 lakh (avg) reflects its class-leading features and build quality.,"Fuel costs may rise noticeably if used primarily for long highway trips at high speeds. | Diesel engines can feel noisy and vibration-prone at idle, especially in older or base variants."
Maruti,Swift,Hatchback,6.49,9.7,8.094999999999999,809500.0,22.0,25.75,23.875,1197.0,1197.0,1197.0,2.0,True,Global NCAP,Petrol,Petrol & CNG,Manual,Manual & Automatic,5.0,5.0,Solid mileage of 23.9 kmpl keeps your monthly fuel bill comfortably in check. | Equipped with essential safety features including airbags and ABS for basic road protection. | Compact footprint makes it effortless to navigate congested city lanes and find parking spots.,Received only 2-star NCAP rating — consider adding aftermarket safety accessories if safety is a priority. | Smaller boot space compared to sedans and SUVs may be limiting for heavy packers.
Maruti,Baleno,Hatchback,6.66,9.93,8.295,829500.0,22.35,22.94,22.645000000000003,1197.0,1197.0,1197.0,3.0,True,Global NCAP,Petrol,Petrol,Manual,Manual & Automatic,5.0,5.0,Solid mileage of 22.6 kmpl keeps your monthly fuel bill comfortably in check. | Carries a 3-star safety rating with standard protective features for everyday driving. | Compact footprint makes it effortless to navigate congested city lanes and find parking spots.,Fuel costs may rise noticeably if used primarily for long highway trips at high speeds. | Compact cabin restricts legroom for tall rear passengers on extended journeys.
Maruti,WagonR,Hatchback,5.85,7.6,6.725,672500.0,20.01,25.19,22.6,998.0,1197.0,1097.5,0.0,False,,Petrol,Petrol & CNG,Manual,Manual & Automatic,5.0,5.0,Solid mileage of 22.6 kmpl keeps your monthly fuel bill comfortably in check. | Packed with active safety tech making it a dependable choice for family use. | CNG fuel option cuts running cost by nearly 40–50 % compared to petrol at current prices.,NCAP crash-test data is unavailable; independently verify safety features before purchase. | CNG filling stations are sparse outside major cities — plan trips in smaller towns carefully.
